category_id,category_name,agg_sic,percentage_weight,sales_2023
1,"All Retailing, Including Automotive Fuel",AGG21,100.0,509445
2,"All Retailing, Excluding Automotive Fuel",AGG21X,88.93,461489
3,Predominantly Food Stores,AGG1,37.57,201285
4,Non-specialised Food Stores,47.11,34.57,184104
5,Specialist Food Stores,AGG26,2.26,13803
6,"Alcoholic Drinks, Other Beverages and Tobacco",AGG27,0.74,3378
7,Predominantly Non-food Stores,AGG12,38.33,194112
8,Non-Specialised Predominantly Non-Food Stores,47.19,7.11,37105
9,"Textile, Clothing, Footwear and Leather",AGG5,10.61,56341
10,Textiles,47.51,0.21,802
11,Clothing,47.71,9.28,48911
12,Footwear and Leather Goods,47.72,1.12,6628
13,Household Goods Stores,AGG7,7.62,37261
14,"Furniture, Lighting etc",47.59,3.34,16712
15,Electrical Household Appliances,47.54,1.41,6444
16,"Hardware, Paints and Glass",47.52,2.71,13223
17,Music and video recordings and equipment,AGG31,0.16,881
18,Other Specialised Non-food Stores,AGG13,12.99,63405
19,Dispensing Chemists,47.73,0.33,1515
20,Medical Goods,47.74,0.26,1196
21,Cosmetic & Toilet Articles,47.75,1.15,6729
22,Computers & Telecomms Equipment,AGG32,0.82,4031
23,Floor Coverings,47.53,0.56,2766
24,"Books, Newspapers & Periodicals",AGG35,0.68,3456
25,"Sports Equipment, Games & Toys",AGG33,2.87,13490
26,"Flowers, plants, seeds, fertilisers and pet foods",47.76,1.39,6563
27,Watches & Jewellery,47.77,1.72,8299
28,Other Retail Sale of New Goods in Specialised Stores,47.78,2.43,11761
29,Second-hand Goods,47.79,0.78,3600
30,Non-store Retail,AGG14,13.03,66092
31,Mail Order,47.91,12.39,63064
32,Other Non-store Retail,Agg 11,0.64,3028
33,Automotive Fuel,47.3,11.07,47956
