date_id,time_period,category_id,value_code,sales_value
198801,1988-01-01,1,J5C4,
198802,1988-02-01,1,J5C4,
198803,1988-03-01,1,J5C4,
198804,1988-04-01,1,J5C4,
198805,1988-05-01,1,J5C4,
198806,1988-06-01,1,J5C4,
198807,1988-07-01,1,J5C4,
198808,1988-08-01,1,J5C4,
198809,1988-09-01,1,J5C4,
198810,1988-10-01,1,J5C4,
198811,1988-11-01,1,J5C4,
198812,1988-12-01,1,J5C4,
198901,1989-01-01,1,J5C4,
198902,1989-02-01,1,J5C4,
198903,1989-03-01,1,J5C4,
198904,1989-04-01,1,J5C4,
198905,1989-05-01,1,J5C4,
198906,1989-06-01,1,J5C4,
198907,1989-07-01,1,J5C4,
198908,1989-08-01,1,J5C4,
198909,1989-09-01,1,J5C4,
198910,1989-10-01,1,J5C4,
198911,1989-11-01,1,J5C4,
198912,1989-12-01,1,J5C4,
199001,1990-01-01,1,J5C4,
199002,1990-02-01,1,J5C4,
199003,1990-03-01,1,J5C4,
199004,1990-04-01,1,J5C4,
199005,1990-05-01,1,J5C4,
199006,1990-06-01,1,J5C4,
199007,1990-07-01,1,J5C4,
199008,1990-08-01,1,J5C4,
199009,1990-09-01,1,J5C4,
199010,1990-10-01,1,J5C4,
199011,1990-11-01,1,J5C4,
199012,1990-12-01,1,J5C4,
199101,1991-01-01,1,J5C4,
199102,1991-02-01,1,J5C4,
199103,1991-03-01,1,J5C4,
199104,1991-04-01,1,J5C4,
199105,1991-05-01,1,J5C4,
199106,1991-06-01,1,J5C4,
199107,1991-07-01,1,J5C4,
199108,1991-08-01,1,J5C4,
199109,1991-09-01,1,J5C4,
199110,1991-10-01,1,J5C4,
199111,1991-11-01,1,J5C4,
199112,1991-12-01,1,J5C4,
199201,1992-01-01,1,J5C4,
199202,1992-02-01,1,J5C4,
199203,1992-03-01,1,J5C4,
199204,1992-04-01,1,J5C4,
199205,1992-05-01,1,J5C4,
199206,1992-06-01,1,J5C4,
199207,1992-07-01,1,J5C4,
199208,1992-08-01,1,J5C4,
199209,1992-09-01,1,J5C4,
199210,1992-10-01,1,J5C4,
199211,1992-11-01,1,J5C4,
199212,1992-12-01,1,J5C4,
199301,1993-01-01,1,J5C4,
199302,1993-02-01,1,J5C4,
199303,1993-03-01,1,J5C4,
199304,1993-04-01,1,J5C4,
199305,1993-05-01,1,J5C4,
199306,1993-06-01,1,J5C4,
199307,1993-07-01,1,J5C4,
199308,1993-08-01,1,J5C4,
199309,1993-09-01,1,J5C4,
199310,1993-10-01,1,J5C4,
199311,1993-11-01,1,J5C4,
199312,1993-12-01,1,J5C4,
199401,1994-01-01,1,J5C4,
199402,1994-02-01,1,J5C4,
199403,1994-03-01,1,J5C4,
199404,1994-04-01,1,J5C4,
199405,1994-05-01,1,J5C4,
199406,1994-06-01,1,J5C4,
199407,1994-07-01,1,J5C4,
199408,1994-08-01,1,J5C4,
199409,1994-09-01,1,J5C4,
199410,1994-10-01,1,J5C4,
199411,1994-11-01,1,J5C4,
199412,1994-12-01,1,J5C4,
199501,1995-01-01,1,J5C4,
199502,1995-02-01,1,J5C4,
199503,1995-03-01,1,J5C4,
199504,1995-04-01,1,J5C4,
199505,1995-05-01,1,J5C4,
199506,1995-06-01,1,J5C4,
199507,1995-07-01,1,J5C4,
199508,1995-08-01,1,J5C4,
199509,1995-09-01,1,J5C4,
199510,1995-10-01,1,J5C4,
199511,1995-11-01,1,J5C4,
199512,1995-12-01,1,J5C4,
199601,1996-01-01,1,J5C4,38.0
199602,1996-02-01,1,J5C4,39.0
199603,1996-03-01,1,J5C4,39.2
199604,1996-04-01,1,J5C4,39.7
199605,1996-05-01,1,J5C4,39.5
199606,1996-06-01,1,J5C4,39.9
199607,1996-07-01,1,J5C4,39.7
199608,1996-08-01,1,J5C4,39.8
199609,1996-09-01,1,J5C4,40.6
199610,1996-10-01,1,J5C4,40.4
199611,1996-11-01,1,J5C4,40.8
199612,1996-12-01,1,J5C4,39.7
199701,1997-01-01,1,J5C4,40.4
199702,1997-02-01,1,J5C4,40.8
199703,1997-03-01,1,J5C4,41.2
199704,1997-04-01,1,J5C4,41.3
199705,1997-05-01,1,J5C4,41.2
199706,1997-06-01,1,J5C4,41.9
199707,1997-07-01,1,J5C4,42.2
199708,1997-08-01,1,J5C4,41.9
199709,1997-09-01,1,J5C4,42.0
199710,1997-10-01,1,J5C4,42.7
199711,1997-11-01,1,J5C4,42.8
199712,1997-12-01,1,J5C4,42.9
199801,1998-01-01,1,J5C4,42.9
199802,1998-02-01,1,J5C4,43.0
199803,1998-03-01,1,J5C4,42.8
199804,1998-04-01,1,J5C4,42.9
199805,1998-05-01,1,J5C4,43.5
199806,1998-06-01,1,J5C4,42.9
199807,1998-07-01,1,J5C4,43.5
199808,1998-08-01,1,J5C4,43.8
199809,1998-09-01,1,J5C4,43.6
199810,1998-10-01,1,J5C4,43.3
199811,1998-11-01,1,J5C4,43.5
199812,1998-12-01,1,J5C4,43.0
199901,1999-01-01,1,J5C4,43.8
199902,1999-02-01,1,J5C4,43.7
199903,1999-03-01,1,J5C4,43.6
199904,1999-04-01,1,J5C4,43.9
199905,1999-05-01,1,J5C4,44.4
199906,1999-06-01,1,J5C4,44.6
199907,1999-07-01,1,J5C4,44.6
199908,1999-08-01,1,J5C4,44.8
199909,1999-09-01,1,J5C4,44.6
199910,1999-10-01,1,J5C4,45.0
199911,1999-11-01,1,J5C4,45.3
199912,1999-12-01,1,J5C4,45.8
200001,2000-01-01,1,J5C4,46.6
200002,2000-02-01,1,J5C4,45.8
200003,2000-03-01,1,J5C4,45.8
200004,2000-04-01,1,J5C4,47.0
200005,2000-05-01,1,J5C4,46.3
200006,2000-06-01,1,J5C4,46.4
200007,2000-07-01,1,J5C4,46.3
200008,2000-08-01,1,J5C4,46.8
200009,2000-09-01,1,J5C4,46.8
200010,2000-10-01,1,J5C4,47.0
200011,2000-11-01,1,J5C4,47.3
200012,2000-12-01,1,J5C4,47.6
200101,2001-01-01,1,J5C4,47.7
200102,2001-02-01,1,J5C4,47.5
200103,2001-03-01,1,J5C4,47.5
200104,2001-04-01,1,J5C4,47.7
200105,2001-05-01,1,J5C4,49.0
200106,2001-06-01,1,J5C4,48.8
200107,2001-07-01,1,J5C4,48.9
200108,2001-08-01,1,J5C4,48.8
200109,2001-09-01,1,J5C4,49.3
200110,2001-10-01,1,J5C4,49.2
200111,2001-11-01,1,J5C4,49.4
200112,2001-12-01,1,J5C4,50.1
200201,2002-01-01,1,J5C4,49.9
200202,2002-02-01,1,J5C4,50.5
200203,2002-03-01,1,J5C4,50.7
200204,2002-04-01,1,J5C4,51.3
200205,2002-05-01,1,J5C4,50.8
200206,2002-06-01,1,J5C4,49.9
200207,2002-07-01,1,J5C4,50.9
200208,2002-08-01,1,J5C4,50.5
200209,2002-09-01,1,J5C4,51.0
200210,2002-10-01,1,J5C4,51.3
200211,2002-11-01,1,J5C4,51.6
200212,2002-12-01,1,J5C4,50.7
200301,2003-01-01,1,J5C4,51.1
200302,2003-02-01,1,J5C4,51.6
200303,2003-03-01,1,J5C4,52.0
200304,2003-04-01,1,J5C4,51.5
200305,2003-05-01,1,J5C4,51.1
200306,2003-06-01,1,J5C4,51.5
200307,2003-07-01,1,J5C4,52.1
200308,2003-08-01,1,J5C4,52.1
200309,2003-09-01,1,J5C4,52.6
200310,2003-10-01,1,J5C4,52.9
200311,2003-11-01,1,J5C4,52.9
200312,2003-12-01,1,J5C4,52.9
200401,2004-01-01,1,J5C4,53.9
200402,2004-02-01,1,J5C4,53.5
200403,2004-03-01,1,J5C4,53.6
200404,2004-04-01,1,J5C4,54.0
200405,2004-05-01,1,J5C4,54.3
200406,2004-06-01,1,J5C4,54.6
200407,2004-07-01,1,J5C4,54.5
200408,2004-08-01,1,J5C4,54.8
200409,2004-09-01,1,J5C4,55.0
200410,2004-10-01,1,J5C4,55.5
200411,2004-11-01,1,J5C4,55.3
200412,2004-12-01,1,J5C4,54.9
200501,2005-01-01,1,J5C4,54.9
200502,2005-02-01,1,J5C4,54.8
200503,2005-03-01,1,J5C4,54.8
200504,2005-04-01,1,J5C4,54.9
200505,2005-05-01,1,J5C4,54.6
200506,2005-06-01,1,J5C4,55.2
200507,2005-07-01,1,J5C4,55.4
200508,2005-08-01,1,J5C4,55.0
200509,2005-09-01,1,J5C4,55.3
200510,2005-10-01,1,J5C4,55.4
200511,2005-11-01,1,J5C4,55.9
200512,2005-12-01,1,J5C4,55.8
200601,2006-01-01,1,J5C4,56.3
200602,2006-02-01,1,J5C4,56.2
200603,2006-03-01,1,J5C4,56.6
200604,2006-04-01,1,J5C4,56.5
200605,2006-05-01,1,J5C4,57.1
200606,2006-06-01,1,J5C4,57.5
200607,2006-07-01,1,J5C4,57.6
200608,2006-08-01,1,J5C4,57.7
200609,2006-09-01,1,J5C4,57.4
200610,2006-10-01,1,J5C4,57.6
200611,2006-11-01,1,J5C4,57.9
200612,2006-12-01,1,J5C4,58.5
200701,2007-01-01,1,J5C4,57.7
200702,2007-02-01,1,J5C4,58.4
200703,2007-03-01,1,J5C4,59.3
200704,2007-04-01,1,J5C4,59.7
200705,2007-05-01,1,J5C4,59.2
200706,2007-06-01,1,J5C4,59.6
200707,2007-07-01,1,J5C4,59.2
200708,2007-08-01,1,J5C4,59.5
200709,2007-09-01,1,J5C4,60.0
200710,2007-10-01,1,J5C4,59.9
200711,2007-11-01,1,J5C4,60.7
200712,2007-12-01,1,J5C4,60.7
200801,2008-01-01,1,J5C4,61.1
200802,2008-02-01,1,J5C4,62.4
200803,2008-03-01,1,J5C4,61.3
200804,2008-04-01,1,J5C4,61.1
200805,2008-05-01,1,J5C4,63.4
200806,2008-06-01,1,J5C4,62.0
200807,2008-07-01,1,J5C4,62.6
200808,2008-08-01,1,J5C4,62.4
200809,2008-09-01,1,J5C4,62.5
200810,2008-10-01,1,J5C4,61.7
200811,2008-11-01,1,J5C4,61.6
200812,2008-12-01,1,J5C4,61.1
200901,2009-01-01,1,J5C4,61.4
200902,2009-02-01,1,J5C4,60.8
200903,2009-03-01,1,J5C4,61.2
200904,2009-04-01,1,J5C4,61.4
200905,2009-05-01,1,J5C4,61.7
200906,2009-06-01,1,J5C4,62.5
200907,2009-07-01,1,J5C4,62.6
200908,2009-08-01,1,J5C4,63.0
200909,2009-09-01,1,J5C4,63.0
200910,2009-10-01,1,J5C4,63.4
200911,2009-11-01,1,J5C4,63.3
200912,2009-12-01,1,J5C4,63.1
201001,2010-01-01,1,J5C4,61.6
201002,2010-02-01,1,J5C4,63.2
201003,2010-03-01,1,J5C4,63.3
201004,2010-04-01,1,J5C4,64.1
201005,2010-05-01,1,J5C4,64.1
201006,2010-06-01,1,J5C4,64.2
201007,2010-07-01,1,J5C4,64.3
201008,2010-08-01,1,J5C4,64.5
201009,2010-09-01,1,J5C4,64.1
201010,2010-10-01,1,J5C4,64.6
